"","Country","country.area.cultivated","Human.Devel.Index","Internal.renewable.water.resources.per.capita","Total.renewable.water.resources.per.capita","Flood.occurance","Total.water.withdrawal.per.capita","SDG.water.stress","Longterm.avg.annual.precip.volumne","Pop.with.access.to.safe.drinking.water"
"1","Albania",24.32,0.7311,9096.33333333333,10212,2.7,433.5,7.879,42.69,95.4666666666667
"2","Algeria",3.532,0.7337,299.933333333333,311.1,2.8,232.9,118.7,212,85.1666666666667
"3","Angola",3.70866666666667,0.5279,5971.33333333333,5987.66666666667,1.7,33.61,1.872,1259,47.7333333333333
"4","Antigua and Barbuda",11.36,0.78245,538.733333333333,538.733333333333,3.6,105.36,9.135,0.4532,97.9
"5","Argentina",14.1933333333333,0.8331,6945.66666666667,20842.3333333333,2.5,897.5,10.46,1643,98.4666666666667
"6","Armenia",16.9866666666667,0.7304,2353.33333333333,2665.66666666667,3.3,988.7,58.14,16.71,98.8
"7","Australia",5.95933333333333,0.9336,21723,21723,2.7,752.433333333333,6.63166666666667,4134,100
"8","Austria",16.99,0.88445,6457,9121.66666666667,3.3,410,9.649,93.11,100
"9","Azerbaijan",24.8166666666667,0.7481,877.266666666667,3749,3,1332.66666666667,54.48,38.71,83.9
"10","Bahrain",5.918,0.8214,3.20566666666667,92.9766666666667,0,318,169,0.0635666666666667,100
"11","Bangladesh",57.99,0.5665,675.166666666667,7889.66666666667,4.9,230.3,5.724,395.066666666667,84.3333333333333
"12","Barbados",25.58,0.7894,284.566666666667,284.566666666667,3.6,293.3,87.5,0.6115,99.2666666666667
"13","Belarus",27.42,0.79725,3582,6099.66666666667,2.6,165.233333333333,5.17033333333333,128.3,99.6666666666667
"14","Belgium",27.9233333333333,0.88945,1085,1654.33333333333,2.8,561.45,75.035,25.86,100
"15","Bhutan",3.25266666666667,0.59695,104568.333333333,104568.333333333,4.7,448.9,1.414,84.46,96.9
"16","Bolivia (Plurinational State of)",4.165,0.6577,29750,56265,3.1,203.9,1.177,1259,87.7
"17","Bosnia and Herzegovina",21.84,0.7291,9753.33333333333,10303,3.6,90.74,2.19333333333333,52.64,99.3666666666667
"18","Botswana",0.4198,0.69465,1150,5864.66666666667,2.1,90.42,2.0685,242,95.9333333333333
"19","Brazil",9.50333333333333,0.7509,28303.3333333333,43232,3.1,326.833333333333,3.094,14995,97.1666666666667
"20","Bulgaria",31.1966666666667,0.7799,2870.66666666667,2911.66666666667,3.2,798.633333333333,43.23,67.49,99.5
"21","Burkina Faso",20.8666666666667,0.3974,760.9,821.766666666667,3.3,57.4,7.82,205.1,78.9333333333333
"22","Cambodia",21.6633333333333,0.5504,8171.33333333333,32258.6666666667,3.9,159.7,1.037,344.7,67.2333333333333
"23","Canada",4.88733333333333,0.9118,81929.6666666667,83424.3333333333,1.9,1112.86666666667,3.867,5362,99.8
"24","Central African Republic",3.08733333333333,0.36135,31547.3333333333,31547.3333333333,2.3,16.96,0.3356,836.7,67.4666666666667
"25","Chad",3.68633333333333,0.3888,1193.33333333333,3635,3,81.63,4.295,413.4,49.9
"26","Chile",2.28566666666667,0.82945,51268.6666666667,53476,2.5,2148,8.979,1151,98.3333333333333
"27","China",13.2233333333333,0.72275,2003.66666666667,2022.66666666667,3.5,420.633333333333,42.98,6192,92.4
"28","Colombia",3.1,0.7176,45936.3333333333,50540.3333333333,3.7,251.1,1.762,3699,91.1
"29","Costa Rica",10.4783333333333,0.76325,24392.3333333333,24392.3333333333,3.1,576.8,4.718,149.5,97.3
"30","Côte d'Ivoire",22.95,0.45715,3592,3933,2.3,64.495,5.935,434.7,80.9666666666667
"31","Croatia",16.8533333333333,0.81705,8805.66666666667,24641,3,153.55,1.4485,62.98,99.3
