"","Country","Renewable.electricity.output","Access.to.electricity","Renewable.energy.consumption","Terrestrial.and.marine.protected.areas","Agricultural.land","Individuals.using.the.Internet","CO2.emissions","GDP.growth","Political.Stability.and.Absence.of.Terrorism","Rule.of.Law","Government.Effectiveness","PM2.5.air.pollution","Proportion.of.seats.held.by.women.in.parliaments","Access.to.clean.fuels.and.technologies.for.cooking","Labor.force.participation.rate","Unemployment","School.enrollment","Cause.of.death.communicable.diseases.and.maternal.prenatal.and.nutrition.conditions","natural.resources.depletion","Prevalence.of.undernourishment","Life.expectancy.at.birth"
"1","Albania",100,100,39.5312283169833,13.3367160054609,43.043705181484,63.75268358,1.86398719534867,2.43772154923568,0.33326294,-0.38293202,-0.06228188,18.9451095932717,21.88,74.6375,63.7824005126953,15.8812000274658,104.447082,2.9,1.48812787281495,6,77.9838
"2","Algeria",0.423024651259266,99.8786819458008,0.0893503146856394,7.1054964885972,17.3905672198949,36.167316406,3.63053875260442,3.04404540730987,-1.10817774,-0.8115752,-0.52899662,36.9271386391395,30.44,92.8125,45.325,10.6861999511719,115.90292,15.05,12.3536601159372,4.1,76.0852
"3","Angola",54.7903228515812,38.6778884887695,50.3505956721717,5.0047120846729,47.4773401780701,14.007815872,1.2720414728248,1.59869739466065,-0.36717758,-1.131897,-1.08302,32.9083428941126,36.54,47.0575,78.3421997070313,7.31639995574951,113.478,63.4,15.0697154418278,27.26,59.3064
"4","Argentina",30.400254679023,99.8737731933594,10.3841194824317,7.4668610495469,54.3812963835875,67.58139036,4.64002388489113,0.642426164768956,0.09103012,-0.60073788,-0.0357573,14.3518518849822,37.1,98.2375,67.9957992553711,7.67480001449585,111.05114,15.7,1.61309909966136,3.84,76.066
"5","Armenia",27.4426206853824,100,10.0959853042106,23.1097529424881,58.9848959533886,56.943219534,1.89787972973377,3.56000000000669,-0.36136056,-0.27452438,-0.10734302,33.5319762239287,12.18,96.3325,65.3506011962891,17.4763999938965,95.784104,2.95,2.21946428951107,4.08,74.4466
"6","Australia",13.9362205641914,100,9.18239444227018,29.1503177271102,50.095882769545,85.019813074,15.7422995964909,2.54196844783337,0.97849834,1.7928688,1.58325,9.19310225108071,27.22,100,76.8307998657227,5.82040004730224,102.82686,4.5,2.7029321152169,2.5,82.3590243902439
"7","Austria",78.5241448672859,100,34.8232884984199,28.4209821210933,32.7755799515256,83.56281921,7.11930803726886,1.2840429195016,1.14476676,1.8573114,1.5228136,13.2153438732512,31.46,100,75.8211990356445,5.63819999694824,102.04268,2.5,0.0725294150395059,2.5,81.42
"8","Azerbaijan",6.44677922303066,100,2.31789038060895,5.51895132224954,57.7106035161087,76.440003402,3.85831472249918,1.26890048034939,-0.65332026,-0.6290528,-0.2833536,20.9079582087511,16.42,94.6975,70.4813995361328,4.96799993515015,104.57754,8.95,13.3887180131283,2.5,72.2484
"9","Barbados",0,100,3.11444811727129,0.00901990968399293,26.453488372093,76.876035256,4.78119759848989,0.787691617706367,1.1266462,0.93531614,1.10250954,24.5277722978604,16.7,99.3775,77.5467987060547,10.8554002761841,96.54081,12.95,0.186839667155026,3.92,78.804
"10","Belarus",0.794183580276758,100,6.80475293390353,9.43237585980277,42.4242983962462,64.193970416,6.71930497823407,-0.218795559710116,0.09291138,-0.81776266,-0.53471236,19.6153217981709,29.9,97.9875,77.0768005371094,5.84620008468628,99.74079,2.4,0.574803468195946,2.5,73.4043902439025
"11","Belgium",17.3633500708264,100,8.80169005028633,24.6136676365155,44.1429994852729,85.283851496,8.50885149457638,1.27637222790032,0.61869684,1.4319588,1.387207,13.3084840345082,38.78,100,67.7246017456055,8.06920003890991,103.56986,7.85,0.00124952644231769,2.5,81.1492682926829
"12","Belize",50.5861396806325,94.960617980957,35.5295531051064,20.5911214854258,7.01446733888645,41.109673224,1.44296081833402,1.76510437461782,0.07582286,-0.7510347,-0.59644144,24.5999979514709,4.36,84.9975,69.5001998901367,10.029999923706,112.82266,19.25,1.2317021698378,7.68,73.9704
"13","Benin",1.85185185185185,39.2470210266113,52.0372019449334,26.1719267651501,33.2564739269244,10.829807164,0.597579524232422,5.08800797029712,0.0716227,-0.56511084,-0.55417122,35.8044198762727,7.68,5.9825,71.8858001708984,2.45379996299744,129.6694,54.45,1.65411590269989,9.96,60.6208
"14","Bolivia",30.5284538956505,90.9334474,17.6638018374844,30.8655034762973,34.7978399335364,38.136412264,1.85042074263691,5.11457914904285,-0.29644742,-1.1302894,-0.51792186,23.2682577830451,47.56,71.625,71.0716003417969,2.75120000839233,96.598648,22.75,7.19023987565205,18.58,70.2414
"15","Botswana",0.0617601118103079,58.3622459411621,28.9663989844842,29.1432646296029,45.7021858816147,38.083959038,2.95137432852525,4.20121135856848,1.0359692,0.57432366,0.44110532,24.0162897323194,9.18,62.6,73.7237991333008,18.008999633789,103.9858,46.95,0.938731171600994,25.82,67.1138
"16","Brazil",74.5793966715226,99.72726,42.6933701522247,24.6577684205838,33.8224174278009,58.45255564,2.55917115424093,-0.455715607286217,-0.28850896,-0.14372856,-0.1751157,13.511959359676,9.8,95.21,69.7707992553711,9.30560007095337,114.0682,13.85,1.85540559086392,2.5,74.9816
"17","Brunei Darussalam",0.0458127351320192,100,0.0141464566137673,8.98936718180581,2.73244774545167,77.867338328,20.762178962735,-1.23587067535185,1.1842998,0.53674028,1.04905826,6.24103302212828,7.8,100,69.111799621582,7.925,105.82244,7.9,11.5944307663269,2.96,75.3242
"18","Bulgaria",16.603681660471,100,17.591240603028,28.29206121704,46.0687635923539,57.688689808,5.66115591609026,2.71012698350104,0.1434286,-0.06955394,0.20056296,20.1903559673646,21.84,88.2225,69.4148010253906,9.44939985275269,94.9996475,2.25,0.743514040526554,4.22,74.7131707317073
"19","Burkina Faso",11.3964588491769,21.6907072448731,74.9456016651541,15.0038501651121,44.4078947368421,12.492,0.170575150583001,5.25004117886451,-0.79079474,-0.49085826,-0.59225296,39.6582592732354,12.88,8.15,68.2516021728516,6.36799993515015,89.237288,56.8,14.2739429828893,20.02,59.8856
"20","Cabo Verde",19.3525837717869,88.3872055053711,26.3005354502821,1.30931429079182,19.9131513647643,45.584992844,0.961320171057936,2.22798454541729,0.7569973,0.50393436,0.11614562,34.1023138082586,21.92,70.305,72.2876007080078,12.1544002532959,105.66188,19.65,0.441319918743157,13.22,72.1162
"21","Cambodia",55.1615943607889,69.1785205688477,67.3012806732076,20.6493863491568,30.9030138227963,18.415718268,0.405272027535028,7.11626406296036,0.06554966,-1.01150632,-0.7282625,27.3012602080707,20.3,15.845,83.1970001220703,1.18100001811981,115.06712,26.15,1.13391792066712,17.62,68.6128
"22","Cameroon",75.592681713842,58.6773034667969,77.0427898246192,10.3821112068705,20.6257536333058,18.660192766,0.307787571565157,5.0274715298413,-0.94557656,-0.9964608,-0.81250646,67.5903548399254,31.1,21.575,77.222200012207,3.5289999961853,115.202233333333,54.35,3.00340103210007,8.32,57.5632
"23","Canada",63.0448251038334,100,22.1432301683513,6.47715655215752,6.88939692205622,89.016,14.950004257344,1.99484012128131,1.175614,1.8262104,1.7895268,7.06981920549109,25.62,100,78.0507995605469,6.84660005569458,101.26602,5.55,0.671996486714387,2.5,81.968
"24","Central African Republic",99.3703282987645,24.2782867431641,76.8500128956559,18.0648153070361,8.15435487495586,3.827850989,0.0670678250487785,-4.3787563093574,-2.0973952,-1.7442982,-1.757937,54.4742591640077,7.9,0.900000000000001,73.1522003173828,6.72880001068115,102.0189,64.2,0.0773778129101658,54.8,50.8428
"25","Chad",0,9.03537172317506,89.3515753240715,20.3544405878597,39.6561308767471,4.079999624,0.0531928242953574,1.22468780440658,-1.25523052,-1.2755234,-1.4621174,60.7571887544789,14.48,3.135,71.4739990234375,2.19099998474121,95.0369,63.55,10.3365298388447,36.84,53.0924
"26","Chile",40.5594052810275,99.8629688,27.2589640210063,20.3165717919967,21.2058786135853,72.32521459,4.6927466435425,2.21304692652752,0.40717802,1.2572196,1.0761093,22.2575814872734,15.48,91.965,68.1046005249024,6.61660003662109,101.0987,7.8,6.7502203785737,3.2,79.6374
"27","China",22.2773994456244,100,12.1584474921862,15.2634609780443,55.5130262504849,50.3,7.55055934312809,7.09342674780736,-0.47341388,-0.3892363,0.30259698,57.8442516110663,23.64,58.21,76.3921997070313,4.53999996185303,97.809272,3.85,1.18132655597519,9.08,75.9116
"28","Colombia",72.0912657859184,98.3504983463867,24.159018707686,12.5674824569373,40.363669410489,56.11426928,1.85894631633157,3.13796742066878,-1.0287994,-0.32099182,-0.02216702,17.5951296303469,18.1,91.0175,74.6518005371094,8.69739990234375,115.4525,10.2,4.25857345676181,6.6,76.523
"29","Costa Rica",92.3690801833967,99.4865224,38.2169322755167,3.0354257652916,34.8418526027514,59.198834046,1.61016713842609,3.41185379712017,0.6218332,0.50756516,0.37120762,16.8292347485846,34.72,93.0625,67.3488006591797,8.71319980621338,111.59714,6.45,0.994899400237513,5.1,79.5698
"30","Cote d'Ivoire",20.8467549901569,63.2675131225586,69.7772210542045,14.8915110926727,64.7798742138365,30.952393116,0.485737295643259,8.44003985000336,-0.98395404,-0.6803213,-0.7682681,24.4908370422955,9.76,18.2801685786247,58.8362007141113,3.2228000164032,91.141054,52.95,2.60636973193302,20.28,56.0126
"31","Croatia",69.0955391289816,100,33.2043895012075,23.5440682467626,27.509382028423,68.982832342,4.04887902110172,1.65576453426261,0.65230026,0.31103206,0.59698598,18.5835676479162,18.78,92.0675,65.8585983276367,15.0053998947143,99.866195,2.15,0.425017388065276,2.5,77.5458536585366
"32","Cuba",4.10587959776542,99.2722732543945,18.3225762471665,7.18448482715418,60.2673499732175,38.88647226,3.08267090724345,2.10611604968618,0.5873361,-0.5860311,-0.1568347,20.8909931861932,48.9,78.83,63.8973999023437,2.60600004196167,99.736358,8.35,1.18597113744945,2.5,78.5672
"33","Cyprus",7.89659710045844,100,9.60043068694058,1.68710096350229,12.3823054425128,72.628818874,5.23013061571517,0.826520118289416,0.57418578,0.95196828,1.08746066,18.0663697071653,14.3,100,72.6358001708984,14.1737998962402,99.40494,4.25,0.0227118950545359,5.74,80.3424
"34","Czech Republic",11.0021324285036,100,14.527674317724,21.920800183494,45.3912604637899,75.842262094,9.27543498919791,2.86876590311981,1.00907622,1.0984546,1.0066764,16.9951566457557,19.8,97.1275,74.3592010498047,4.98959999084473,99.561324,5.25,0.0625503512566943,2.5,78.8160975609756
"35","Denmark",55.7889031274304,100,30.2615823512513,17.8423550787021,62.2350559657061,96.203469482,6.39913875703419,1.91147326043434,0.90841704,1.9630932,1.8666168,10.5339788867287,38.08,100,78.5992004394531,6.33560018539429,101.47382,6.4,0.60110615551704,2.5,80.7121951219512
"36","Djibouti",0,57.8038877868652,27.8488214512253,1.2775235863282,73.4253666954271,20.189751158,0.746490464194494,7.85422660754001,-0.53016558,-0.89148546,-0.97902754,43.7465603606116,12.32,10.6225,66.0678009033203,11.3549997329712,69.903614,46.1,0.833438271861911,19.04,64.1006
"37","Dominican Republic",13.8471680135722,98.8634392,17.3361645983062,15.2088381902847,48.6855723452701,56.227573152,2.12639975469213,6.14172626957084,0.20049098,-0.45276318,-0.37211,14.3719587930405,23.2,89.7075,66.1540016174316,6.95839996337891,109.23536,16.3,1.28765775036343,11.1,73.2334
"38","Ecuador",50.3233172873014,98.9073248,12.9035195288958,14.6757862290925,24.580347175125,49.229022962,2.68165078033461,1.99525099323172,-0.10537614,-0.90364088,-0.43328472,15.984036619564,40.3,95.1425,69.3936004638672,3.72239999771118,108.08034,14.9,4.00959798163342,8,76.1444
"39","Egypt, Arab Rep.",8.67069123270773,99.958908996582,5.76110675764384,11.550975256873,3.7595559919705,37.462451736,2.32338446880306,3.60025229337655,-1.5239216,-0.58653146,-0.74397828,83.2269189813012,14.9,97.2225,52.0234001159668,12.6975999832153,105.12325,10.35,4.64485830524213,4.42,71.297
"40","El Salvador",59.3212698686343,96.2117815925781,26.9424887480658,2.15195321707367,76.2186293436293,27.498283812,0.996354864512496,2.23146679948158,-0.08428612,-0.649167,-0.2070205,26.789196346982,29.98,84.1425,63.5608001708985,4.13180012702942,102.915158,10.85,0.941084017747278,10.04,72.4076
"41","Estonia",11.5897192910054,100,25.7593791644008,19.4974661590267,22.6305498044629,85.59964423,14.9712685703328,3.01423556933899,0.69678726,1.2823104,1.05487846,7.14913317383262,22.82,92.3225,76.8018005371094,6.93839998245239,97.813974,2.8,0.33851614312081,3,77.409756097561
"42","Eswatini",46.8310724533218,66.6230438232422,66.837603992217,4.16427779819267,71.046511627907,30.418314164,1.05024196515589,2.76774189053146,-0.43940734,-0.3509779,-0.53671642,17.7057458426375,6.2,47.775,54.25,23.7218002319336,118.7668,54.2,1.81374085943525,22.08,55.1816
"43","Ethiopia",99.9460709191004,35.8936260986328,92.4106565434277,18.4749561668009,36.259,12.028030174,0.114863919099516,10.0339134516891,-1.5104206,-0.5147896,-0.60346762,37.6020365682139,34.4,3.3175,82.4996002197266,2.02279996871948,100.11213,50,10.8961434039403,23.18,64.982
