"","Country","Renewable.electricity.output","Access.to.electricity","Renewable.energy.consumption","Terrestrial.and.marine.protected.areas","Agricultural.land","Individuals.using.the.Internet","CO2.emissions","GDP.growth","Political.Stability.and.Absence.of.Terrorism","Rule.of.Law","Government.Effectiveness","PM2.5.air.pollution","Proportion.of.seats.held.by.women.in.parliaments","Access.to.clean.fuels.and.technologies.for.cooking","Labor.force.participation.rate","Unemployment","School.enrollment","Cause.of.death.communicable.diseases.and.maternal.prenatal.and.nutrition.conditions","natural.resources.depletion","Prevalence.of.undernourishment","Life.expectancy.at.birth"
"1","Albania",1,0,0.786948533661932,0.607317578693273,0.518012963827649,0.637135510881681,0.239203841443762,0.535554385289655,0.719838646224358,0.409214400092511,0.451209855576029,0.378363386989024,0.34565560821485,0.666258476296488,0.553372120582236,0.822208184280039,0.453075162554891,0.134891128159107,0.180461795307626,0.226927022297161,0.838287712366581
"2","Algeria",0.0487990702040098,0.015339759233475,0.0113389301003612,0.451537972504971,0.20526639114607,0.343841124442212,0.381637913326556,0.572626178708389,0.377236113651653,0.304198450840043,0.327018156481814,0.625624957826699,0.48088467614534,0.388314940243374,0.21363201796542,0.684367486698977,0.603330940696579,0.544549867880805,0.639433718779062,0.119982765616666,0.779646798225643
"3","Angola",0.851059805518961,0.899979862670957,0.847012686013766,0.373167288554627,0.572064992541625,0.108235882288671,0.176297136669393,0.484254853335681,0.553357500383141,0.225720827812752,0.17959383279296,0.582153443430747,0.577251184834123,0.843801771133703,0.821370188292888,0.560380369430133,0.571525476833408,0.986226936704164,0.695660219417954,0.738384667737605,0.261410113200906
"4","Argentina",0.708327215604779,0.0159418155249278,0.473022332450997,0.463166552570344,0.656233589944885,0.677843259986979,0.444024418324876,0.425786612288029,0.662264596347933,0.355852792564659,0.458267984183581,0.279598612512186,0.58609794628752,0.160943725535396,0.630926948534181,0.575539803818642,0.539694567759717,0.556841925202166,0.191882468959123,0.102803242871585,0.779053779395186
"5","Armenia",0.683981533871165,0,0.466914842749302,0.75462211604912,0.712357717512026,0.564735619781605,0.24250763682168,0.604172623432923,0.554740093376164,0.435773859689698,0.439219191772005,0.589217657922221,0.192417061611374,0.265278467750293,0.582237542926052,0.856525720250966,0.339450781657193,0.13822656618316,0.24221751316735,0.118687506930481,0.729036347413813
"6","Australia",0.527858444061498,0,0.446540514102024,0.819031310933247,0.603988581076124,0.863252845370181,0.815836591183982,0.541928238862945,0.873198604225239,0.942277327855872,0.889082034395357,0.128380604182944,0.43001579778831,0,0.793550282839352,0.490085359391329,0.431824188390253,0.227725066059597,0.277412587900708,0,0.973422631683778
"7","Austria",0.939871255829764,0,0.755734384549707,0.811952460149862,0.392830579577305,0.847761729421189,0.564052535877306,0.465016280506919,0.912717387460122,0.958065519823132,0.873000049919921,0.250859802909844,0.496998420221169,0,0.77496684854822,0.480618319441528,0.421538814583191,0.106913567153779,0.011557558718815,0,0.944419551179965
"8","Azerbaijan",0.366404354028877,0,0.199667508673974,0.394334515678722,0.696822363008804,0.772030205568292,0.396640310324569,0.464090442988518,0.485346927207739,0.34891574482764,0.392383188716352,0.414100678145665,0.259399684044234,0.329832726602335,0.676678683393569,0.44373856207073,0.454786261149757,0.399069788689882,0.662024674784469,0,0.66114186860595
"9","Barbados",0,0,0.243590781719939,0,0.315755701774553,0.776666203134695,0.451983268734338,0.434668418257663,0.908410481297577,0.7321801868635,0.761158124062604,0.472629234288812,0.263823064770932,0.069014332891789,0.806729469113205,0.689688265558773,0.349375804065373,0.501367216473905,0.0289762069399108,0.10816939252616,0.863620735530174
"10","Belarus",0.0850477143529912,0,0.384522479373737,0.519533511291068,0.510461554348275,0.641827380704984,0.547083875325715,0.373129878708353,0.66271173541468,0.302682546666876,0.325497211456207,0.390929088531182,0.472353870458136,0.1773277274753,0.798078346977271,0.491408060554829,0.391347023013986,0.0995303840045327,0.0819630930043775,0,0.696846242692355
"11","Belgium",0.577399696535904,0,0.43755414807765,0.77200219506578,0.531414853545513,0.866060166602792,0.617705309899796,0.464547279838984,0.787680756121037,0.853855750158758,0.836915451301095,0.253294493986401,0.612638230647709,0,0.6259350933846,0.591586119481486,0.441569441697717,0.36428814603828,0.000202637617570255,0,0.93605762407367
"12","Belize",0.831498063667854,0.327780577554252,0.760663217698774,0.723040400999018,0.0787676493373272,0.396389473766577,0.195559581146061,0.494429292461335,0.658650125172128,0.319030643144418,0.309071247860708,0.473713946891627,0.0688783570300158,0.545076784167872,0.658618021590787,0.663038393902728,0.562929979790994,0.616896095070505,0.155688462347101,0.302108819735122,0.714328244962578
"13","Benin",0.166692756444281,0.89762811443575,0.855239268618619,0.789003560692884,0.398693329890907,0.0744465146056959,0.0889713764872145,0.697597935767994,0.657651828486613,0.364581281898505,0.320319254390106,0.613949538600534,0.121327014218009,0.985977070156738,0.702529084994933,0.263997502848405,0.783893302408746,0.937877021391316,0.195544893211183,0.385527977039918,0.302007193969288
"14","Bolivia",0.709331565218559,0.445623354904456,0.592976593166063,0.835046097086186,0.417484673723291,0.364777034334937,0.237873274650122,0.699222548153333,0.570168689550685,0.226114683700109,0.329965124176601,0.453223197438535,0.751342812006319,0.69285925077969,0.687542341152035,0.289956277325097,0.350134412357159,0.66698779497702,0.494775999526769,0.599592569325784,0.599152868984723
"15","Botswana",0.00773504816327183,0.80300020288191,0.710792766354767,0.81896365125424,0.550423452117655,0.364219338777021,0.333010556786792,0.643377504959192,0.886858314581916,0.643738401880003,0.58516001037568,0.464862017332639,0.145023696682464,0.759114097635914,0.736360607243512,0.867360159475998,0.447024947297591,0.891042009176907,0.124856165798318,0.718480496338716,0.502552572415041
"16","Brazil",0.927096272202832,0.033299447067657,0.805985869011947,0.772496898990511,0.405592949364188,0.580783251279418,0.301791154811846,0.358644136569829,0.572055507744776,0.46781833825939,0.421185040372869,0.258562226396668,0.154818325434439,0.311300481534097,0.663598866864722,0.638097345289225,0.579266591910212,0.52057294642693,0.212942261118283,0,0.745560570033323
"17","Brunei Darussalam",0.0057601627310629,0,0.00182859462415539,0.507725065635949,0.0265640181867334,0.78720598041748,0.910090905087581,0.310943972486282,0.922113625413042,0.634530616684829,0.746934863657414,0.006234386287687,0.123222748815166,0,0.651468848715418,0.585793371410571,0.471114478972721,0.365951632242758,0.621801866044677,0.0383868746005821,0.756142249789294
"18","Bulgaria",0.567220555445036,0,0.592017477712593,0.810683536937163,0.55489253199501,0.572661642489317,0.498139988930977,0.552209771434777,0.674718700217792,0.485990838122192,0.521152251819496,0.40140357455757,0.345023696682464,0.491510862797102,0.657046109064305,0.643173127000576,0.329161781251827,0.088134866276645,0.102554405133092,0.127666240726194,0.73726975697377
"19","Burkina Faso",0.483704875073061,0.961883042616852,0.946930887499211,0.638149558564683,0.534644286224351,0.0921193563302097,0.0210323127813879,0.707504954195512,0.452671905845004,0.382772881664877,0.310185792577727,0.652676710956465,0.20347551342812,0.980161959529135,0.635635439817921,0.517264825353118,0.253582167555767,0.951276950457012,0.680171041357979,0.626266793907531,0.279299514586364
"20","Cabo Verde",0.602271258379134,0.499564215515037,0.687437770961242,0.149123370545296,0.236020115964846,0.443972169106067,0.13855023269991,0.522730666126573,0.820552096932627,0.626493291024123,0.498688995382354,0.595570451365083,0.346287519747235,0.703693237763355,0.709924912788513,0.728346205776072,0.46900855989998,0.623022852081245,0.0646915029141099,0.480596605901833,0.657058686867073
"21","Cambodia",0.852717128947441,0.728805308865949,0.919784660939263,0.723810014812378,0.370001456693524,0.155101781175034,0.0598732405577229,0.821609369371025,0.656208384498051,0.255216086646335,0.273993972568738,0.512299796376884,0.320695102685624,0.958373854638426,0.910731113741466,0.128836657561708,0.592368514432274,0.709277796527326,0.14571989850325,0.580751689781956,0.548851282147089
"22","Cameroon",0.930439514896756,0.801112760396602,0.95390730509514,0.543377841175903,0.244707704886917,0.157701093971515,0.0442213459705994,0.693896622707327,0.415883264963707,0.258902181838138,0.251576852143475,0.857386602827623,0.4913112164297,0.940845797510488,0.800754673611463,0.350841639586365,0.594140672788325,0.937294507367274,0.297505985647207,0.327359419551157,0.207568945218981
"23","Canada",0.885575758920067,0,0.646219343336329,0.430173676459564,0.0772428711887015,0.905741284446073,0.798554272502229,0.508475772783351,0.920049178975038,0.950445893079739,0.943971807698248,0.0444640728083271,0.404739336492891,0,0.816006468976017,0.539600731090185,0.411352073757114,0.276922089371809,0.0939846435978411,0,0.96134529696593
"24","Central African Republic",0.998425061064484,0.953352160060756,0.953273794151017,0.687607361842146,0.0926644256569317,0,0.00254790068061236,0.118781969604474,0.142118282051994,0.075684862370936,0,0.774070228007534,0.12480252764613,0.999113553372665,0.72583935100041,0.534217258491172,0.421226914013,0.99022136674151,0.0123156653626766,1,0
"25","Chad",0,1,0.991454567801402,0.719893567561686,0.476713834844014,0.00268090610240556,0,0.461387195924734,0.342284515886383,0.1905329059293,0.0787169026402955,0.816154359374509,0.228751974723539,0.993420145917876,0.694949178821262,0.239573323441313,0.32965038831621,0.986979601004699,0.59029979698119,0.850091958515274,0.0694820396352331
"26","Chile",0.777693106547315,0.0172620876394144,0.696078374277878,0.719386986260707,0.251780215843707,0.728280762164797,0.447016355801005,0.52181735170842,0.737406829192049,0.81104531057678,0.754133082037801,0.436938298757435,0.244549763033175,0.410786960298704,0.632929622445385,0.529021723671164,0.409157489930189,0.362616194218705,0.478857736072601,0.0570236919084842,0.889361459139706
"27","China",0.634921002667379,0,0.507759974597237,0.642676912091646,0.670030913204266,0.494103281088515,0.581532437183145,0.820213052504524,0.528107189401802,0.407669875463533,0.548303265539811,0.797193334458865,0.37345971563981,0.786018766900526,0.785477094915675,0.418281173150581,0.366013063151366,0.19311015156356,0.150591207584703,0.355385084039095,0.774284919633593
"28","Colombia",0.918695489468235,0.156663761517904,0.667023561078954,0.591942575414392,0.485339689965491,0.555922017461136,0.23870998972633,0.578368749168625,0.396102807711805,0.424389513574749,0.461884325858083,0.351783927473764,0.285939968404423,0.433765544855962,0.753442064187659,0.615890286074358,0.597423192386016,0.434583576040726,0.370127793599629,0.2554507190346,0.793168863015964
"29","Costa Rica",0.980223096983541,0.0595248324800595,0.778605695553983,0.274541807268488,0.418021247902722,0.58871786624467,0.213499680056788,0.595114682934552,0.78842620814967,0.627382823218584,0.566560396132132,0.335877797460336,0.548499210110585,0.381288745591276,0.619017830058272,0.616482994987178,0.546855951751474,0.313921650469378,0.130998782807431,0.179855955095157,0.887273538674138
"30","Cote d'Ivoire",0.619473532311215,0.771939572737796,0.928891866117997,0.63616900995038,0.783006368465878,0.288394781566955,0.0723218742165476,0.902547537738425,0.406761681242511,0.336355157267959,0.263348576116756,0.472073384591612,0.154186413902054,0.951071542656969,0.462328832770478,0.327961577460934,0.27855212974707,0.929028968942261,0.270681632984822,0.630896442461691,0.15967649738008
"31","Croatia",0.908198314736757,0,0.74407019228779,0.759745972018861,0.328628478688936,0.692743734707817,0.408750243090701,0.487744046746347,0.795667638241711,0.579232961004445,0.626639488871104,0.371416886166736,0.296682464454976,0.408172183473764,0.591588101116214,0.802040622911982,0.392991846016708,0.0803121675789187,0.0625176773901077,0,0.824761127615663
"32","Cuba",0.283864316258898,0.0808323980353723,0.601525786378738,0.454118721502425,0.727992572784849,0.372751856092139,0.342911456732966,0.515279394602564,0.780226915601319,0.359455897744467,0.426049571651957,0.413805119645744,0.772511848341232,0.623900774418212,0.555488881521196,0.277491881569709,0.391288892512427,0.380555717568087,0.15106453509717,0,0.856306836621202
"33","Cyprus",0.406692447640022,0,0.456062253466401,0.18142221831867,0.144208881990127,0.731508757341896,0.476233922541834,0.437042466603618,0.777101339225785,0.736259897846385,0.757153652344688,0.36126457618747,0.225908372827804,0,0.716334120909246,0.781905452727559,0.386941984893782,0.214839578324481,0.00366361053396924,0.213895908402577,0.911136369320555
